Head,Relation,Tail,Original Tail,New Tail,Title,Article,Original Article Text,Clean Original Tail
annual account union,prepare,financial year,for each financial year which shall run from 1 january to 31,financial year,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",for each financial year which shall run from 1 january to 31
annual account union,prepare,financial year,for each financial year which shall run from 1 january to 31,1 january,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",for each financial year which shall run from 1 january to 31
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,follow,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,consolidated financial statement,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,accordance,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,accounting rule,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,article,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,consolidation,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,financial information,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
annual account union,comprise,article,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,financial statement,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts ,"['\nThe annual accounts of the Union shall be prepared for each financial year which shall run from 1 January to 31 \nDecember. Those accounts shall comprise the following: \n(a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in Article 80, \nthe consolidation of the financial information contained in the financial statements of Union institutions, of Union \nbodies referred to in Article 70 and of other bodies meeting the accounting consolidation criteria; \n(b) the aggregated budget implementation reports which present the information contained in the budget implementation \nreports of Union institutions. ']",the following : the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions
