Head,Relation,Tail,Original Tail,New Tail,Title,Article,Original Article Text,Clean Original Tail
contribution,use,article,to reimburse only the percentage set out in article 17(4) of regulation (eu euratom),percentage,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse only the percentage set out in article 174  of regulation  eu euratom 
contribution,use,article,to reimburse only the percentage set out in article 17(4) of regulation (eu euratom),article,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse only the percentage set out in article 174  of regulation  eu euratom 
contribution,use,article,to reimburse only the percentage set out in article 17(4) of regulation (eu euratom),regulation,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse only the percentage set out in article 174  of regulation  eu euratom 
contribution,use,article,to reimburse only the percentage set out in article 17(4) of regulation (eu euratom),eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse only the percentage set out in article 174  of regulation  eu euratom 
contribution,use,european political party,to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests,expenditure,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests
contribution,use,european political party,to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests,contract,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests
contribution,use,european political party,to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests,european political party,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests
contribution,use,european political party,to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests,conflict,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests
contribution,use,european political party,to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests,interest,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests
contribution,use,european political party,to directly or indirectly grant any personal advantage in cash or in kind to any individual member or member of staff of a european political party,personal advantage,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles ,"[' \nContributions shall be used to reimburse only the percentage set out in Article 17(4) of Regulation (EU, Euratom) \nNo 1141/2014 of the operating costs of European political parties directly linked to objectives of those parties, as \nspecified in Article 17(5) of that Regulation and Article 21 of that Regulation. ', ' \nContributions may be used to reimburse expenditure relating to contracts concluded by European political parties, \nprovided that there were no conflicts of interests when they were awarded. ', ' \nContributions shall not be used to directly or indirectly grant any personal advantage, in cash or in kind, to any \nindividual member or member of staff of a European political party. Contributions shall not be used to directly or \nindirectly finance activities of third parties, in particular national political parties or political foundations at European or \nnational level, whether in the form of grants, donations, loans or any other similar agreements. For the purposes of this \nparagraph, associated entities of European political parties shall not be regarded as third parties, where such entities are \npart of the administrative organisation of European political parties as set out in the statutes of the latter. Contributions \nshall not be used for any of the purposes excluded by Article 22 of Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be subject to the principles of transparency and equal treatment, in accordance with the criteria \nlaid down in Regulation (EU, Euratom) No 1141/2014. ', ' \nContributions shall be awarded by the European Parliament on an annual basis and shall be published in accordance \nwith Article 38(1) to (4) of this Regulation and with Article 32(1) of Regulation (EU, Euratom) No 1141/2014. ', ' \nEuropean political parties receiving a contribution shall not directly or indirectly receive other funding from the \nbudget. In particular, donations from the budgets of political groups in the European Parliament shall be prohibited. In no \ncircumstances shall the same expenditure be financed twice by the budget. \nContributions shall be without prejudice to the ability of the European political parties to build up reserves with amounts \nfrom their own resources in accordance with Regulation (EU, Euratom) No 1141/2014. ', ' \nIf a European political foundation as defined in point (4) of Article 2 of Regulation (EU, Euratom) No 1141/2014 \nrealises a surplus of income over expenditure at the end of a financial year in which it received an operating grant, the \npart of that surplus corresponding to up to 25 % of the total income for that year may be carried over to the following \nyear provided that it is used before the end of the first quarter of that following year. ']",to directly or indirectly grant any personal advantage in cash or in kind to any individual member or member of staff of a european political party
