Head,Relation,Tail,Original Tail,New Tail,Title,Article,Original Article Text,Clean Original Tail
union,establish,financial instrument,financial instruments,financial instrument,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",financial instruments
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,budgetary guarantee,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,financial assistance,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,budget,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,mean,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,basic act,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,union scope,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,period,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
union,provide,financial assistance,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,implementation,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation
member state,contribute,union financial instrument,budgetary guarantees or financial assistance to the unions financial instruments,budgetary guarantee,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,"[' \nWhere it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish \nfinancial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic \nact defining their scope and period of implementation. ', ' \nMember States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If \nauthorised by the basic act, third parties may also contribute. ', ' \nWhere financial instruments are implemented under shared management with Member States, sector-specific rules \nshall apply. ', ' \nWhere financial instruments or budgetary guarantees are implemented under indirect management, the Commission \nshall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of \nArticle 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), \nthey may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments \nand budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be \nselected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the \nrequirements pursuant to Article 155(2) in those agreements. \nThe Commission shall remain responsible for ensuring that the implementation framework for financial instruments \ncomplies with the principle of sound financial management and supports the attainment of defined and time-bound \npolicy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple\xad\nmentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in \naccordance with the applicable law and Article 129. \nL 193/132  \n\x0c \nWhere third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act \nmay allow for the designation of eligible implementing entities or counterparts from the countries concerned. ', ' \nThe Court of Auditors shall have full access to any information related to the financial instruments, budgetary \nguarantees and financial assistance, including by means of on-the-spot checks. \nThe Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial \ninstrument, a budgetary guarantee or a financial assistance. ']",budgetary guarantees or financial assistance to the unions financial instruments
